language,language_name,prompt_id,variant_type,seed,image_path,mean_luma,contrast_luma,edge_density,entropy,colorfulness,phash_bits
en,English,S04_word_order,word_order,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_word_order_seed2026051801_00001_.png,179.29971313476562,38.88478539946234,0.0558929443359375,6.806175005664393,15.500017736046216,1111111110101011110100010110110010100011010100101010000101000000
en,English,S04_word_order,word_order,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_word_order_seed2026051802_00001_.png,104.55775451660156,53.60718066371974,0.056488037109375,7.081479453218985,30.124084348342855,1011101010101011010101010101000010101010110101010101000110101001
en,English,S04_attribute_swap,attribute_swap,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_attribute_swap_seed2026051801_00001_.png,148.86233520507812,48.167333119041615,0.0626373291015625,7.124248207245011,39.96742551379855,1001111110001011110100000110110110011010010100101010010111001000
en,English,S04_attribute_swap,attribute_swap,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_attribute_swap_seed2026051802_00001_.png,89.31289672851562,57.85586709325074,0.0843505859375,7.246564480380848,49.64244885001988,1010101010101111010100010100000110101001011100100100110110110011
en,English,S05_base,base,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_base_seed2026051801_00001_.png,185.8553924560547,76.44445964273255,0.034912109375,5.026859301549055,89.06475465709966,1011111110010011110000000110110000010010110001100110110111001001
en,English,S05_base,base,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_base_seed2026051802_00001_.png,160.0077362060547,78.88246461180185,0.033477783203125,6.2280735289053695,103.7793995537914,1010111111100100100100000100110011011000000110101100110110111001
en,English,S05_synonym,synonym,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_synonym_seed2026051801_00001_.png,198.0658721923828,75.06699589789473,0.029052734375,4.858883600774432,88.55716196260157,1111101010010011100001010110110000110010100000110110110100111001
en,English,S05_synonym,synonym,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_synonym_seed2026051802_00001_.png,170.56492614746094,80.41084363503053,0.02679443359375,5.819864049919573,115.36227390800751,1110111111100000100100010100110111011000001110100100100100111010
en,English,S05_word_order,word_order,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_word_order_seed2026051801_00001_.png,186.96961975097656,75.96715182248155,0.0346221923828125,5.183940527867977,96.03104645823471,1111101110010011100001010110100000010010110000110110100101101101
en,English,S05_word_order,word_order,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_word_order_seed2026051802_00001_.png,166.25999450683594,70.64714018734489,0.03399658203125,7.188448496724448,116.30803075178967,1010111111100111100100010100110110001100100110101100000000111001
en,English,S05_attribute_swap,attribute_swap,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_attribute_swap_seed2026051801_00001_.png,192.1719512939453,70.54272219237168,0.0323944091796875,4.887454899635359,76.438312248925,1011101110010111110001000110100000010011001000110110110110011100
en,English,S05_attribute_swap,attribute_swap,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_attribute_swap_seed2026051802_00001_.png,161.02133178710938,69.84411857798284,0.0330657958984375,7.2265329443432496,122.10298286921626,1010111111100100100100010100110011011010000110111100000110110001
en,English,S05_quantity_shift,quantity_shift,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_quantity_shift_seed2026051801_00001_.png,184.37432861328125,76.02610661396743,0.026092529296875,4.87219883741896,102.74608988581247,1011111011001110110000000110000110011011000100100110110001101101
en,English,S05_quantity_shift,quantity_shift,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S05_quantity_shift_seed2026051802_00001_.png,158.5612030029297,74.26917207000437,0.0408172607421875,6.59017046747814,117.39016486860912,1010111110100111100100000100110011011000101110101100000110110001
en,English,S06_base,base,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S06_base_seed2026051801_00001_.png,206.14260864257812,32.33259903160189,0.029998779296875,4.240909940283998,41.66205255130281,1110110111000011100100000011100000011011111000110110110001001101
en,English,S06_base,base,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S06_base_seed2026051802_00001_.png,191.62025451660156,39.74772095758372,0.065399169921875,5.992799904882789,117.44051745439148,1010111110110011110000010100110010011000110110101000010100110101
en,English,S06_synonym,synonym,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S06_synonym_seed2026051801_00001_.png,215.92959594726562,35.102282178909626,0.0414581298828125,5.2398607489283755,42.31920697799405,1111111011000010110001000101110110000011101000101100010111001100
en,English,S06_synonym,synonym,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S06_synonym_seed2026051802_00001_.png,211.8417205810547,28.386935957414337,0.0619354248046875,5.1697727280254115,114.27647010261518,1010111111000110110100000010100111011000110001111100000100110110
en,English,S06_word_order,word_order,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S06_word_order_seed2026051801_00001_.png,196.12754821777344,25.309803104440405,0.0327606201171875,5.756577457734526,43.4954231842062,1110100101000010110101000011110010110011111000011010110111001000
en,English,S06_word_order,word_order,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S06_word_order_seed2026051802_00001_.png,207.60044860839844,28.66015990943006,0.0399932861328125,6.267470615251655,99.18741521313589,1010100010100111110100000100100110111010110100111000010101110110
en,English,S06_attribute_swap,attribute_swap,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S06_attribute_swap_seed2026051801_00001_.png,205.65518188476562,18.126641476818726,0.012542724609375,4.721019683867105,51.352282582745985,1111001101110010100011000100110100110011101100101100110001001001
en,English,S06_attribute_swap,attribute_swap,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S06_attribute_swap_seed2026051802_00001_.png,217.40187072753906,27.35268853083068,0.0446929931640625,5.768515169453101,109.26913357886198,1010101010100111110101001100100110111000100100111000000101111010
