prompt_id,variant_type,seed,language,language_name,phash_distance_to_en,ssim_to_en,structural_drift_to_en,hist_l1_to_en
S03_attribute_swap,attribute_swap,2026051802,fr,French,0.28125,0.6091635392424741,0.39083646075752587,1.4671630859375
S03_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
S03_base,base,2026051801,zh,Chinese,0.28125,0.2672402203505891,0.732759779649411,1.813232421875
S03_base,base,2026051801,hi,Hindi,0.46875,-0.00759715421493599,1.007597154214936,1.38409423828125
S03_base,base,2026051801,es,Spanish,0.21875,0.5863066249825627,0.4136933750174373,1.17022705078125
S03_base,base,2026051801,fr,French,0.34375,0.4558563317892964,0.5441436682107036,1.480072021484375
S03_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
S03_base,base,2026051802,zh,Chinese,0.40625,0.42844708592929026,0.5715529140707097,1.53228759765625
S03_base,base,2026051802,hi,Hindi,0.3125,0.19462580953701858,0.8053741904629814,1.464111328125
S03_base,base,2026051802,es,Spanish,0.25,0.667212456027158,0.33278754397284205,1.09979248046875
S03_base,base,2026051802,fr,French,0.3125,0.7355886499140715,0.26441135008592853,1.60382080078125
S03_synonym,synonym,2026051801,en,English,0.0,1.0,0.0,0.0
S03_synonym,synonym,2026051801,zh,Chinese,0.46875,0.13863433530312924,0.8613656646968708,1.90802001953125
S03_synonym,synonym,2026051801,hi,Hindi,0.46875,0.08918548682322816,0.9108145131767719,1.651153564453125
S03_synonym,synonym,2026051801,es,Spanish,0.3125,0.5797106124278144,0.4202893875721856,1.57568359375
S03_synonym,synonym,2026051801,fr,French,0.40625,0.4956248477868436,0.5043751522131563,1.518585205078125
S03_synonym,synonym,2026051802,en,English,0.0,1.0,0.0,0.0
S03_synonym,synonym,2026051802,zh,Chinese,0.4375,0.3812175922391741,0.6187824077608259,1.49334716796875
S03_synonym,synonym,2026051802,hi,Hindi,0.46875,0.23007321650213486,0.7699267834978651,1.358734130859375
S03_synonym,synonym,2026051802,es,Spanish,0.1875,0.7132267410162592,0.28677325898374084,1.240386962890625
S03_synonym,synonym,2026051802,fr,French,0.1875,0.6868875820582727,0.3131124179417273,1.029144287109375
S03_word_order,word_order,2026051801,en,English,0.0,1.0,0.0,0.0
S03_word_order,word_order,2026051801,zh,Chinese,0.3125,0.27003515656827887,0.7299648434317212,1.68304443359375
S03_word_order,word_order,2026051801,hi,Hindi,0.40625,0.32681966407089735,0.6731803359291026,1.701873779296875
S03_word_order,word_order,2026051801,es,Spanish,0.28125,0.4267562368054132,0.5732437631945868,1.7244873046875
S03_word_order,word_order,2026051801,fr,French,0.21875,0.5592728493707225,0.4407271506292775,1.06890869140625
S03_word_order,word_order,2026051802,en,English,0.0,1.0,0.0,0.0
S03_word_order,word_order,2026051802,zh,Chinese,0.25,0.47405014757524616,0.5259498524247539,1.795745849609375
S03_word_order,word_order,2026051802,hi,Hindi,0.375,0.19810875092760563,0.8018912490723944,1.5247802734375
S03_word_order,word_order,2026051802,es,Spanish,0.21875,0.758700400403238,0.24129959959676195,1.034515380859375
S03_word_order,word_order,2026051802,fr,French,0.25,0.7694312751391086,0.23056872486089142,1.161834716796875
S04_attribute_swap,attribute_swap,2026051801,en,English,0.0,1.0,0.0,0.0
S04_attribute_swap,attribute_swap,2026051801,zh,Chinese,0.28125,0.11731091253726718,0.8826890874627328,1.9146728515625
S04_attribute_swap,attribute_swap,2026051801,hi,Hindi,0.375,0.08410633418883015,0.9158936658111698,1.697174072265625
S04_attribute_swap,attribute_swap,2026051801,es,Spanish,0.28125,0.2660886805423819,0.7339113194576181,1.869476318359375
S04_attribute_swap,attribute_swap,2026051801,fr,French,0.34375,0.38686313545883466,0.6131368645411653,1.84759521484375
S04_attribute_swap,attribute_swap,2026051802,en,English,0.0,1.0,0.0,0.0
S04_attribute_swap,attribute_swap,2026051802,zh,Chinese,0.40625,0.28729855609853533,0.7127014439014647,1.78582763671875
S04_attribute_swap,attribute_swap,2026051802,hi,Hindi,0.40625,0.18203386469935443,0.8179661353006455,1.68267822265625
S04_attribute_swap,attribute_swap,2026051802,es,Spanish,0.375,0.2952372129045638,0.7047627870954363,1.54315185546875
S04_attribute_swap,attribute_swap,2026051802,fr,French,0.3125,0.7186860819364478,0.2813139180635522,1.5771484375
S04_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
S04_base,base,2026051801,zh,Chinese,0.375,0.1843039908401066,0.8156960091598934,1.70819091796875
S04_base,base,2026051801,hi,Hindi,0.5,0.14752941830651864,0.8524705816934813,1.651153564453125
S04_base,base,2026051801,es,Spanish,0.3125,0.32705148769317016,0.6729485123068298,1.807861328125
S04_base,base,2026051801,fr,French,0.25,0.6251985723767581,0.37480142762324187,1.863067626953125
S04_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
S04_base,base,2026051802,zh,Chinese,0.3125,0.2663563814320536,0.7336436185679465,1.80523681640625
S04_base,base,2026051802,hi,Hindi,0.34375,0.2031546550915655,0.7968453449084345,1.658233642578125
S04_base,base,2026051802,es,Spanish,0.375,0.2774207259564672,0.7225792740435328,1.599945068359375
S04_base,base,2026051802,fr,French,0.375,0.7180266372530396,0.2819733627469604,1.443145751953125
S04_synonym,synonym,2026051801,en,English,0.0,1.0,0.0,0.0
S04_synonym,synonym,2026051801,zh,Chinese,0.40625,0.12532811015619993,0.8746718898438001,1.80450439453125
S04_synonym,synonym,2026051801,hi,Hindi,0.5,0.11635845251872175,0.8836415474812782,1.235137939453125
S04_synonym,synonym,2026051801,es,Spanish,0.3125,0.3660874775619102,0.6339125224380898,1.325653076171875
S04_synonym,synonym,2026051801,fr,French,0.4375,0.251934320072604,0.7480656799273959,1.567596435546875
S04_synonym,synonym,2026051802,en,English,0.0,1.0,0.0,0.0
S04_synonym,synonym,2026051802,zh,Chinese,0.34375,0.239390144403029,0.760609855596971,1.75909423828125
S04_synonym,synonym,2026051802,hi,Hindi,0.4375,0.24055884118188545,0.7594411588181146,1.694061279296875
S04_synonym,synonym,2026051802,es,Spanish,0.375,0.09998017927463435,0.9000198207253657,1.353515625
S04_synonym,synonym,2026051802,fr,French,0.34375,0.8061063349253361,0.19389366507466388,1.3568115234375
S04_word_order,word_order,2026051801,en,English,0.0,1.0,0.0,0.0
S04_word_order,word_order,2026051801,zh,Chinese,0.375,0.0985012541170379,0.9014987458829621,1.7550048828125
S04_word_order,word_order,2026051801,hi,Hindi,0.34375,0.057381243641659856,0.9426187563583401,1.562957763671875
S04_word_order,word_order,2026051801,es,Spanish,0.40625,0.3078278488567017,0.6921721511432983,1.891754150390625
S04_word_order,word_order,2026051801,fr,French,0.21875,0.6713999534106742,0.32860004658932584,0.97003173828125
S04_word_order,word_order,2026051802,en,English,0.0,1.0,0.0,0.0
S04_word_order,word_order,2026051802,zh,Chinese,0.40625,0.21760592506151022,0.7823940749384898,1.835174560546875
S04_word_order,word_order,2026051802,hi,Hindi,0.46875,0.22139405026200357,0.7786059497379965,1.711212158203125
S04_word_order,word_order,2026051802,es,Spanish,0.4375,0.21840193730714363,0.7815980626928564,1.38037109375
S04_word_order,word_order,2026051802,fr,French,0.25,0.7864684645823861,0.21353153541761394,1.322052001953125
